"department","course","section","author","bookImage","edition","isbn","title","publisher","price","forRent","print","subscriptionTime"
"ARE","5262","0001","Kaiser","//bkstr.scene7.com/is/image/Bkstr/9781611684001","N/A","9781611684001","Cycle","University Press of New England****PUBLISHER CLOSED*****",22.46,true,true,
"ARE","5262","0001","Kaiser","//bkstr.scene7.com/is/image/Bkstr/9781611684780","N/A","9781611684780","The Cycle","University of Chicago Press",26.99,true,false,
"ARE","5262","0001","Association","//bkstr.scene7.com/is/image/Bkstr/9781433832178","7th","9781433832185","Publication Manual of the American Psychological Association - 7th Ed.","American Psychological Association",31.99,true,false,"365"
"ARE","5262","0001","Association","//bkstr.scene7.com/is/image/Bkstr/9781433832178","7th","9781433832185","Publication Manual of the American Psychological Association - 7th Ed.","American Psychological Association",35.99,true,false,
"ARE","5358","0001","American Psychological Association","//bkstr.scene7.com/is/image/Bkstr/9781433832161","7th","9781433832161","Publication Manual of APA","American Psychological Association",31.99,false,true,
"ARE","5358","0001","American Psychological Association","//bkstr.scene7.com/is/image/Bkstr/9781433832161","7th","9781433832161","Publication Manual of APA","American Psychological Association",23.99,true,true,
"ARE","5358","0001","American Psychological Association","//bkstr.scene7.com/is/image/Bkstr/9781433832161","7th","9781433832161","Publication Manual of APA","American Psychological Association",12.8,true,true,
"ARE","5358","0001","American Psychological Association","//bkstr.scene7.com/is/image/Bkstr/9781433832161","7th","9781433832161","Publication Manual of APA","American Psychological Association",24,false,true,
"ARE","5358","0001","Association","//bkstr.scene7.com/is/image/Bkstr/9781433832178","7th","9781433832185","Publication Manual of the American Psychological Association - 7th Ed.","American Psychological Association",31.99,true,false,"365"
"ARE","5358","0001","Association","//bkstr.scene7.com/is/image/Bkstr/9781433832178","7th","9781433832185","Publication Manual of the American Psychological Association - 7th Ed.","American Psychological Association",35.99,true,false,
"ARE","5382","0001","Gehart","//bkstr.scene7.com/is/image/Bkstr/9781305405219","2nd","9781305405219","Case Documentation in Counseling & Psychotherapy","Cengage Learning",115,false,true,
"ARE","5382","0001","Gehart","//bkstr.scene7.com/is/image/Bkstr/9781305405219","2nd","9781305405219","Case Documentation in Counseling & Psychotherapy","Cengage Learning",46,true,true,
"ARE","5382","0001","Gehart","//bkstr.scene7.com/is/image/Bkstr/9781305405219","2nd","9781305405219","Case Documentation in Counseling & Psychotherapy","Cengage Learning",86.25,false,true,
"ARE","5382","0001","Cochran","//bkstr.scene7.com/is/image/Bkstr/9780415712439","2nd","9780415712439","Heart of Counseling","Routledge",105,false,true,
"ARE","5382","0001","Cochran","//bkstr.scene7.com/is/image/Bkstr/9780415712439","2nd","9780415712439","Heart of Counseling","Routledge",78.75,true,true,
"ARE","5382","0001","Gehart","//bkstr.scene7.com/is/image/Bkstr/9781305545120","N/A","9781305545120","Case Documentation in Counseling and Psychotherapy: A Theory-Informed, Competency-Based Approach","Cengage Learning",26.21,true,false,"120"
"ARE","5382","0001","Gehart","//bkstr.scene7.com/is/image/Bkstr/9781305405219","1st","9781305545120","Case Documentation in Counseling and Psychotherapy: A Theory-Informed, Competency-Based Approach","Cengage Learning",29.99,true,false,"180"
"ARE","5382","0001","Gehart","//bkstr.scene7.com/is/image/Bkstr/9781305405219","N/A","9781305545120","Case Documentation in Counseling and Psychotherapy: A Theory-Informed, Competency-Based Approach","Cengage Learning",40.99,true,false,
"ARE","5382","0001","Cochran","//bkstr.scene7.com/is/image/Bkstr/9781134663347","2nd","9781134663347","The Heart of Counseling","Taylor & Francis Group, LLC",105,true,false,
"ARE","5555","0001","American Psychiatric Association","//bkstr.scene7.com/is/image/Bkstr/9780890425558","5th","9780890425558","Diagnostic & Statistical Manual of Mental Disorders (DSM-5)","American Psychiatric Association Publishing",160,false,true,
"ARE","5555","0001","American Psychiatric Association","//bkstr.scene7.com/is/image/Bkstr/9780890425558","5th","9780890425558","Diagnostic & Statistical Manual of Mental Disorders (DSM-5)","American Psychiatric Association Publishing",88,true,true,
"ARE","5555","0001","First","//bkstr.scene7.com/is/image/Bkstr/9781615370160","N/A","9781615370160","Learning DSM-5 by Case Example","American Psychiatric Association Publishing",69,false,true,
"ARE","5555","0001","First","//bkstr.scene7.com/is/image/Bkstr/9781615370160","N/A","9781615370160","Learning DSM-5 by Case Example","American Psychiatric Association Publishing",51.75,true,true,
"ARE","5555","0001","Williams","//bkstr.scene7.com/is/image/Bkstr/9781615371181","N/A","9781615371181","Learning DSM-5 by Case Example","American Psychiatric Association Publishing",38.5,true,false,
"ARE","5555","0001","Association","//bkstr.scene7.com/is/image/Bkstr/9780890425558","5th","9780890425572","Diagnostic and Statistical Manual of Mental Disorders (DSM-5)","American Psychiatric Association Publishing",119.5,true,false,
"ARE","5649","0001","Gussak","//bkstr.scene7.com/is/image/Bkstr/9781118306598","N/A","9781118306598","Wiley Handbook of Art Therapy","John Wiley & Sons, Incorporated",240,false,true,
"ARE","5649","0001","Gussak","//bkstr.scene7.com/is/image/Bkstr/9781118306598","N/A","9781118306598","Wiley Handbook of Art Therapy","John Wiley & Sons, Incorporated",180,true,true,
"ARE","5649","0001","Rubin","//bkstr.scene7.com/is/image/Bkstr/9781138884564","3rd","9781138884564","Approaches to Art Therapy","Routledge",80.95,false,true,
"ARE","5649","0001","Rubin","//bkstr.scene7.com/is/image/Bkstr/9781138884564","3rd","9781138884564","Approaches to Art Therapy","Routledge",60.71,true,true,
"ARE","5649","0001","Author Info Not Available","//bkstr.scene7.com/is/image/Bkstr/9781118306567","1st","9781118306567","The Wiley Handbook of Art Therapy","John Wiley & Sons, Incorporated",199.99,true,false,
"ARE","5665","0001","Bolman","//bkstr.scene7.com/is/image/Bkstr/9780787987992","4th","9780787987992","Reframing Organizations","Jossey-Bass, Incorporated Publishers",24,true,true,
