"department","course","section","author","bookImage","edition","isbn","title","publisher","price","forRent","print","subscriptionTime"
"APK","3110C","0012","McArdle","//bkstr.scene7.com/is/image/Bkstr/9781451191554","8th","9781451191554","Exercise Physiology (w/BindIn Access)","Lippincott Williams & Wilkins",54.4,true,true,
"APK","3110C","0012","Katch","//bkstr.scene7.com/is/image/Bkstr/9781451191554","8th","9781469864402","Exercise Physiology","Lippincott Williams & Wilkins",139.99,true,false,
"APK","3110C","0013","McArdle","//bkstr.scene7.com/is/image/Bkstr/9781451191554","8th","9781451191554","Exercise Physiology (w/BindIn Access)","Lippincott Williams & Wilkins",102,false,true,
"APK","3110C","0013","McArdle","//bkstr.scene7.com/is/image/Bkstr/9781451191554","8th","9781451191554","Exercise Physiology (w/BindIn Access)","Lippincott Williams & Wilkins",135.99,false,true,
"APK","3110C","0013","McArdle","//bkstr.scene7.com/is/image/Bkstr/9781451191554","8th","9781451191554","Exercise Physiology (w/BindIn Access)","Lippincott Williams & Wilkins",54.4,true,true,
"APK","3110C","0013","Katch","//bkstr.scene7.com/is/image/Bkstr/9781451191554","8th","9781469864402","Exercise Physiology","Lippincott Williams & Wilkins",139.99,true,false,
"APK","3113","0001","Haff","//bkstr.scene7.com/is/image/Bkstr/9781492501626","4th","9781492501626","Essen of Strength Training & Condition (w/Glued-in Access)","Human Kinetics Publishers",81.75,false,true,
"APK","3113","0001","Haff","//bkstr.scene7.com/is/image/Bkstr/9781492501626","4th","9781492501626","Essen of Strength Training & Condition (w/Glued-in Access)","Human Kinetics Publishers",109,false,true,
"APK","3113","0001","Haff","//bkstr.scene7.com/is/image/Bkstr/9781492501626","4th","9781492501626","Essen of Strength Training & Condition (w/Glued-in Access)","Human Kinetics Publishers",43.6,true,true,
"APK","3113","0001","NSCA -National Strength & Cond","//bkstr.scene7.com/is/image/Bkstr/9781492501626","4th","9781492585039","Essentials of Strength Training and Conditioning","Human Kinetics Publishers",82,true,false,
"APK","3113","0002","Haff","//bkstr.scene7.com/is/image/Bkstr/9781492501626","4th","9781492501626","Essen of Strength Training & Condition (w/Glued-in Access)","Human Kinetics Publishers",81.75,false,true,
"APK","3113","0002","Haff","//bkstr.scene7.com/is/image/Bkstr/9781492501626","4th","9781492501626","Essen of Strength Training & Condition (w/Glued-in Access)","Human Kinetics Publishers",109,false,true,
"APK","3113","0002","Haff","//bkstr.scene7.com/is/image/Bkstr/9781492501626","4th","9781492501626","Essen of Strength Training & Condition (w/Glued-in Access)","Human Kinetics Publishers",43.6,true,true,
